female,memberships,age,protestant,post_weights,region
1,2,-1,0,1.0333326,310
0,1,0.2,0,1.1587566,310
0,5,0.3,1,0.4359561,310
1,1,1.4,1,1.1530915,310
1,2,1.7,0,0.47428378,310
0,2,-1.2,0,0.69379675,310
0,2,-0.5,0,1.2706652,310
0,2,-0.1,1,1.2706652,310
1,1,-0.8,0,0.5166136,310
0,0,0.1,0,0.8720012,310
0,3,0.1,0,1.1587566,310
1,1,0.3,0,0.9910718,310
0,1,1.2,0,0.4359561,310
1,1,-1,0,0.5287042,310
1,1,0,0,0.7687539,310
1,1,-0.2,0,0.38433772,310
0,1,0.5,0,1.2706652,310
1,1,-1.5,,1.0333326,310
1,2,1.3,0,0.9910718,310
0,1,0.6,0,0.8720012,310
0,1,-1.3,0,0.69379675,310
1,0,1.5,0,1.2985518,310
0,4,-0.4,1,0.4359561,310
0,2,1.1,0,2.5413303,310
0,2,-0.5,1,1.2706652,310
1,2,-0.1,0,0.9910718,310
0,3,0.3,1,1.7380759,310
0,0,-1.1,0,1.9160283,310
1,5,0.2,1,1.3943884,221
1,1,0.1,0,0.9296239,221
1,2,1,1,0.49548534,310
1,0,-0.1,0,0.9910718,310
0,1,0.4,0,1.3079573,310
1,2,0.8,1,2.477629,310
1,3,-1.5,0,0.5287042,310
0,2,0.1,0,0.5793192,310
1,1,1.9,0,0.8993946,310
1,0,0.7,0,0.6327339,310
1,0,1.7,0,0.44965142,310
0,0,-0.4,0,1.1587566,310
1,2,1,0,0.7687539,310
0,3,1.2,1,0.6352678,310
1,3,-0.4,1,0.6327339,310
1,1,1.7,0,0.47428378,310
0,1,-0.1,0,1.1587566,310
0,1,-0.7,0,1.2773956,310
0,3,0,,1.3079573,310
1,1,1.4,0,0.6327339,310
1,1,-0.6,0,1.0575163,310
0,2,0.1,1,1.1587566,310
1,1,-1.2,0,0.5166136,310
1,4,2.2,0,0.8993946,310
0,1,-0.7,0,0.5782888,221
1,4,-0.2,1,0.9296239,221
0,1,1.8,1,0.6862616,221
1,1,1.8,1,2.4360795,221
0,1,1.4,0,1.086912,221
0,1,2.1,1,0.55256695,221
0,2,2,1,1.0707897,221
1,2,1.4,0,0.3605082,221
1,3,0,1,0.5935034,221
1,1,2,1,1.2180398,221
0,0,1.8,0,0.7138841,221
0,0,1.5,0,0.53007823,230
0,1,1.8,0,1.3167977,230
0,2,-0.3,1,1.1587566,310
0,1,-0.7,0,1.3877351,310
1,4,0.4,0,0.7687539,310
1,2,-0.7,1,2.0666652,310
1,0,1.6,1,0.94866437,310
0,0,-0.2,0,0.8720012,310
0,1,0.2,0,1.2706652,310
0,4,-0.5,1,1.2706652,310
1,3,1.3,1,0.7687539,310
1,4,0.3,0,1.3943884,221
1,0,-0.6,0,1.0333326,310
0,0,0.3,0,0.8720012,310
0,1,2.5,0,0.7316233,310
1,1,1.1,0,0.31633464,310
0,1,-0.7,1,1.2331529,310
1,2,1.7,1,1.9477615,310
1,0,2.4,0,0.44965142,310
1,0,-1.5,0,0.5287042,310
1,1,0.6,0,0.49548534,310
0,0,-0.1,1,0.8720012,310
1,1,-1.4,0,2.0666652,310
0,6,2.2,0,0.5890915,310
0,1,2,0,1.1415687,310
1,2,-0.3,0,0.38433772,310
0,1,1,0,0.4359561,310
1,0,-0.6,0,1.0333326,310
0,3,0,0,1.1587566,310
0,1,-0.5,1,1.1587566,310
1,0,-1.4,0,1.0333326,310
0,4,-0.7,0,1.2773956,310
0,7,1.5,1,0.55256695,224
1,5,-1,1,0.9919488,224
1,3,-0.4,1,0.72109,224
0,2,0.4,0,1.1918821,224
1,6,1.3,0,0.8902249,224
0,4,1.6,1,1.3726633,224
0,1,1.9,1,1.0707897,224
0,2,-0.5,0,0.59588027,224
0,3,-1.1,1,1.1981952,224
1,2,1.8,0,0.8898458,224
0,6,2.3,0,0.6862616,224
1,5,1,0,0.5935034,224
0,4,1.3,0,1.2321565,336
0,0,-0.9,0,1.8496665,310
0,2,2,0,0.4045991,336
1,2,-0.3,0,0.6728136,336
